id,title,price,currency_id,available_quantity,sold_quantity,condition,category_id,permalink
MLA1663084514,Dcolor Chromecast Gd1 4k De Voz 4k 16gb Negro Con 2gb De Memoria Ram,105000,ARS,,,new,MLA352001,https://articulo.mercadolibre.com.ar/MLA-1663084514-dcolor-chromecast-gd1-4k-de-voz-4k-16gb-negro-con-2gb-de-memoria-ram-_JM
MLA1448806077,"Apple Tv A1469 3.a Gen. Full Hd 8gb, 1gb Ram,estado Impoluto",48900,ARS,,,used,MLA352001,https://articulo.mercadolibre.com.ar/MLA-1448806077-apple-tv-a1469-3a-gen-full-hd-8gb-1gb-ramestado-impoluto-_JM
MLA1982911574,Xiaomi Mi Tv Stick 4k Android Google Tv Color Negro Tipo De Control Remoto De Voz,105935,ARS,,,new,MLA352001,https://articulo.mercadolibre.com.ar/MLA-1982911574-xiaomi-mi-tv-stick-4k-android-google-tv-color-negro-tipo-de-control-remoto-de-voz-_JM
MLA2022527970,Google Chromecast 4k Chromecast With Google Tv Ga01919-us De,155000,ARS,,,new,MLA352001,https://articulo.mercadolibre.com.ar/MLA-2022527970-google-chromecast-4k-chromecast-with-google-tv-ga01919-us-de-_JM
MLA926322306,"Google Nest Hub Con Asistente Virtual Google Assistant, Pantalla Integrada De 7  Charcoal 110/220v",315000,ARS,,,new,MLA409415,https://articulo.mercadolibre.com.ar/MLA-926322306-google-nest-hub-con-asistente-virtual-google-assistant-pantalla-integrada-de-7-charcoal-110220v-_JM
MLA1419331631, Apple Tv 1ª Gen Full Hd -olo Aparato - Enciende - No Envío,25775.2,ARS,,,used,MLA352001,https://articulo.mercadolibre.com.ar/MLA-1419331631-apple-tv-1-gen-full-hd-olo-aparato-enciende-no-envio-_JM
MLA1480795399,Google Tv Streamer 4k Netflix Hdr 2024 Androidtv Color Blanco Tipo De Control Remoto De Voz,224999,ARS,,,new,MLA352001,https://articulo.mercadolibre.com.ar/MLA-1480795399-google-tv-streamer-4k-netflix-hdr-2024-androidtv-color-blanco-tipo-de-control-remoto-de-voz-_JM
MLA1869562272,Amazon Fire Tv Stick 4k Ultra Hd Hdr Wifi 6 Version 2023,84999,ARS,,,new,MLA352001,https://articulo.mercadolibre.com.ar/MLA-1869562272-amazon-fire-tv-stick-4k-ultra-hd-hdr-wifi-6-version-2023-_JM
MLA1437520249,Google Home Mini Con Asistente Virtual Color Negro,159999,ARS,,,used,MLA409415,https://articulo.mercadolibre.com.ar/MLA-1437520249-google-home-mini-con-asistente-virtual-color-negro-_JM
MLA1361528507,Parlante Inteligente Google Home Mini Smart Speaker Gris Yt,62990,ARS,,,used,MLA409415,https://articulo.mercadolibre.com.ar/MLA-1361528507-parlante-inteligente-google-home-mini-smart-speaker-gris-yt-_JM
