Economy ISO3,Economy Name,Indicator ID,Indicator,Attribute 1,Attribute 2,Attribute 3,Partner,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AGO,Angola,ITU.DDD.31,Population covered by at least a 3G mobile network (%),Actual,-,-,-,,40.0,47.0,53.0,46.0,,62.0,85.0,85.0,85.0,87.0,87.2,87.2,
AGO,Angola,ITU.DDD.31,Population covered by at least a 3G mobile network (%),Estimate,-,-,-,,,,,,60.7,,,,,,,,
AGO,Angola,ITU.DDD.32,Population covered by at least a 4G mobile network (%),Actual,-,-,-,,,,,,7.0,8.0,8.0,8.0,18.0,30.0,33.0,57.9,
AGO,Angola,ITU.DDD.33,Total fixed broadband subscriptions,Actual,-,-,-,,15817.0,20512.0,22282.0,87750.0,153571.0,84724.0,96919.0,109561.0,119068.0,121516.0,134996.0,137800.0,
AGO,Angola,ITU.DDD.33,Total fixed broadband subscriptions,Estimate,-,-,-,15000.0,,,,,,,,,,,,,
AGO,Angola,ITU.DDD.4,Fixed broadband basket as a % of GNI p.c.,Actual,-,-,-,,,,,,,,,9.3,9.3,8.6,16.1,12.2,
AGO,Angola,ITU.DDD.5,Fixed broadband subscriptions per 100 inhabitants,Actual,-,-,-,0.1,0.1,0.1,0.1,0.3,0.5,0.3,0.3,0.4,0.4,0.4,0.4,0.4,
AGO,Angola,ITU.DDD.6,Fixed broadband subscriptions: >10 Mbit/s,Actual,-,-,-,,4.0,6.0,9.0,1281.0,3206.0,8895.0,12971.0,17684.0,19074.0,40997.0,54807.0,57861.0,
AGO,Angola,ITU.DDD.7,Fixed broadband subscriptions: 2 to 10 Mbit/s,Actual,-,-,-,,2147.0,2902.0,4001.0,6765.0,27294.0,55728.0,50754.0,54261.0,71603.0,51057.0,49482.0,57839.0,
AGO,Angola,ITU.DDD.8,Fixed broadband subscriptions: 256kbit/s - <2Mbit/s,Actual,-,-,-,,8350.0,10780.0,14830.0,30825.0,13160.0,20102.0,33194.0,35802.0,28391.0,29462.0,30707.0,22100.0,
AGO,Angola,ITU.DDD.9,Fixed-telephone subscriptions per 100 inhabitants,Actual,-,-,-,1.2,0.7,0.8,0.8,1.1,1.0,1.0,0.5,0.5,0.4,0.4,0.3,0.3,
ALB,Albania,ITU.DDD.1,Active mobile-broadband subscriptions per 100 inhabitants,Actual,-,-,-,0.0,9.8,22.5,31.0,34.1,45.0,58.5,70.5,62.9,62.3,69.7,72.0,75.3,
ALB,Albania,ITU.DDD.10,Households with a computer at home (%),Actual,-,-,-,,,,,,20.2,21.8,21.6,20.2,,,,,
ALB,Albania,ITU.DDD.11,Households with Internet access at home (%),Actual,-,-,-,,,,,,25.0,29.4,30.2,32.9,82.2,83.3,88.3,96.5,
ALB,Albania,ITU.DDD.15,"Individuals using the Internet, total (%)",Actual,-,-,-,45.0,,,,,,,,,68.6,72.2,79.3,82.6,
ALB,Albania,ITU.DDD.15,"Individuals using the Internet, total (%)",Estimate,-,-,-,,47.0,49.4,51.8,54.3,56.9,59.6,62.4,65.4,,,,,
ALB,Albania,ITU.DDD.16,International bandwidth per Internet user (kbit/s),Actual,-,-,-,12966.9,22005.3,20997.5,26747.4,44059.4,59141.6,70612.7,87693.3,,,,,,
ALB,Albania,ITU.DDD.18,Internet users: 15-24 years as a % of all 15-24 years,Actual,-,-,-,,,,,,,,,,94.1,94.8,,96.5,
ALB,Albania,ITU.DDD.19,Internet users: 25-74 years as a % of all 25-74 years,Actual,-,-,-,,,,,,,,,,62.7,67.9,,80.0,
ALB,Albania,ITU.DDD.2,Female Internet users as a % of total female population,Actual,-,-,-,,,,,,,,,,66.0,71.2,78.3,81.5,
ALB,Albania,ITU.DDD.21,Male Internet users as a % of total male population,Actual,-,-,-,,,,,,,,,,71.2,73.2,80.3,83.7,
